constituency_no,constituency,district,polling_booths,total_voters,female_voters,male_voters,alliance,candidate_name,party
14,Kuthuparamba,Kannur,215,"2,05,771","1,05,444","1,00,327",LDF,P. K. Praveen,RJD
14,Kuthuparamba,Kannur,215,"2,05,771","1,05,444","1,00,327",UDF,Jayanthi Rajan,IUML
14,Kuthuparamba,Kannur,215,"2,05,771","1,05,444","1,00,327",NDA,Adv. Shijilal,BJP
14,Kuthuparamba,Kannur,215,"2,05,771","1,05,444","1,00,327",Others,Rafeed AP,AAP
14,Kuthuparamba,Kannur,215,"2,05,771","1,05,444","1,00,327",Others,M. Shylaja,Independent
14,Kuthuparamba,Kannur,215,"2,05,771","1,05,444","1,00,327",Others,Jayanthi,Independent
14,Kuthuparamba,Kannur,215,"2,05,771","1,05,444","1,00,327",Others,K. P. Mohanan,Independent
14,Kuthuparamba,Kannur,215,"2,05,771","1,05,444","1,00,327",Others,Praveen Kumar,Independent
14,Kuthuparamba,Kannur,215,"2,05,771","1,05,444","1,00,327",Others,Shahul Hameed,Independent
15,Mattanur,Kannur,205,"2,01,719","1,04,166","97,553",LDF,V. K. Sanoj,CPI(M)
15,Mattanur,Kannur,205,"2,01,719","1,04,166","97,553",UDF,Chandran Thillankeri,INC
15,Mattanur,Kannur,205,"2,01,719","1,04,166","97,553",NDA,Biju Elakkuzhi,BJP
15,Mattanur,Kannur,205,"2,01,719","1,04,166","97,553",Others,Basheer Punnad,SDPI
15,Mattanur,Kannur,205,"2,01,719","1,04,166","97,553",Others,Chandran Thengalath,Independent
15,Mattanur,Kannur,205,"2,01,719","1,04,166","97,553",Others,Sanoj,Independent
16,Peravoor,Kannur,183,"1,82,384","92,657","89,726",LDF,Sitting MLA from different seat,K. K. Shailaja
16,Peravoor,Kannur,183,"1,82,384","92,657","89,726",UDF,Adv. Sunny Joseph,INC
16,Peravoor,Kannur,183,"1,82,384","92,657","89,726",NDA,Paily Vathiatt,BDJS
16,Peravoor,Kannur,183,"1,82,384","92,657","89,726",Others,Adv. Henstion George,AAP
16,Peravoor,Kannur,183,"1,82,384","92,657","89,726",Others,Aruvikkal Krishnan,CPIML Red Star
16,Peravoor,Kannur,183,"1,82,384","92,657","89,726",Others,Sunny,Independent
16,Peravoor,Kannur,183,"1,82,384","92,657","89,726",Others,Sunny Joseph Muthukulathel,Independent
16,Peravoor,Kannur,183,"1,82,384","92,657","89,726",Others,Venugopalan. C,Independent
16,Peravoor,Kannur,183,"1,82,384","92,657","89,726",Others,C. Shylaja,Independent
16,Peravoor,Kannur,183,"1,82,384","92,657","89,726",Others,Narayana Kumar,Independent
16,Peravoor,Kannur,183,"1,82,384","92,657","89,726",Others,Sailaja. A. V,Independent
17,Mananthavady,Wayanad,237,"2,05,415","1,04,155","1,01,260",LDF,O. R. Kelu,CPI(M)
17,Mananthavady,Wayanad,237,"2,05,415","1,04,155","1,01,260",UDF,Usha M A,INC
17,Mananthavady,Wayanad,237,"2,05,415","1,04,155","1,01,260",NDA,P. Shyam Raj,BJP
18,Sulthan Bathery,Wayanad,251,"2,25,329","1,15,788","1,09,540",LDF,M. S. Viswanathan,CPI(M)
18,Sulthan Bathery,Wayanad,251,"2,25,329","1,15,788","1,09,540",UDF,I. C. Balakrishnan,INC
18,Sulthan Bathery,Wayanad,251,"2,25,329","1,15,788","1,09,540",NDA,A. S. Kavitha,BJP
18,Sulthan Bathery,Wayanad,251,"2,25,329","1,15,788","1,09,540",Others,Prakrithi N V,AAP
18,Sulthan Bathery,Wayanad,251,"2,25,329","1,15,788","1,09,540",Others,Benadict,BSP
18,Sulthan Bathery,Wayanad,251,"2,25,329","1,15,788","1,09,540",Others,V.A Ramesan,SUCI
18,Sulthan Bathery,Wayanad,251,"2,25,329","1,15,788","1,09,540",Others,Balakrishnan Edakkal,Independent
18,Sulthan Bathery,Wayanad,251,"2,25,329","1,15,788","1,09,540",Others,Rajesh R M,Independent
19,Kalpetta,Wayanad,227,"2,12,881","1,09,095","1,03,784",LDF,P. K. Anil Kumar,RJD
19,Kalpetta,Wayanad,227,"2,12,881","1,09,095","1,03,784",UDF,T. Siddique,INC
19,Kalpetta,Wayanad,227,"2,12,881","1,09,095","1,03,784",NDA,Prasanth Malavayal,BJP
19,Kalpetta,Wayanad,227,"2,12,881","1,09,095","1,03,784",Others,Rafeek C A,AAP
19,Kalpetta,Wayanad,227,"2,12,881","1,09,095","1,03,784",Others,V. K. Prakash,CPIML Red Star
19,Kalpetta,Wayanad,227,"2,12,881","1,09,095","1,03,784",Others,N Hamza,SDPI
19,Kalpetta,Wayanad,227,"2,12,881","1,09,095","1,03,784",Others,P. K. Anil Kumar,Independent
19,Kalpetta,Wayanad,227,"2,12,881","1,09,095","1,03,784",Others,Sidheeque S/o Kunjammad,Independent
19,Kalpetta,Wayanad,227,"2,12,881","1,09,095","1,03,784",Others,T K Ummer,Independent
19,Kalpetta,Wayanad,227,"2,12,881","1,09,095","1,03,784",Others,Radhakrishnan M,Independent
20,Vatakara,Kozhikode,186,"1,76,832","90,734","86,097",LDF,M. K. Bhaskaran,RJD
20,Vatakara,Kozhikode,186,"1,76,832","90,734","86,097",UDF,K. K. Rema,RMPI
20,Vatakara,Kozhikode,186,"1,76,832","90,734","86,097",NDA,Adv. K. Dileep,BJP
20,Vatakara,Kozhikode,186,"1,76,832","90,734","86,097",Others,Shamseer Chombala,SDPI
20,Vatakara,Kozhikode,186,"1,76,832","90,734","86,097",Others,Bhaskaran K K S/o Kelappan,Independent
20,Vatakara,Kozhikode,186,"1,76,832","90,734","86,097",Others,Ramakrishnan Vattakandi,Independent
