constituency_no,constituency,district,polling_booths,total_voters,female_voters,male_voters,alliance,candidate_name,party
81,Thrippunithura,Ernakulam,294,"1,87,923","97,210","90,711",NDA,Anjali .P. V,TTP
81,Thrippunithura,Ernakulam,294,"1,87,923","97,210","90,711",Others,Thomas Paul,AAP
81,Thrippunithura,Ernakulam,294,"1,87,923","97,210","90,711",Others,Karthikeyan,BSP
81,Thrippunithura,Ernakulam,294,"1,87,923","97,210","90,711",Others,Satheesan,SUCI
81,Thrippunithura,Ernakulam,294,"1,87,923","97,210","90,711",Others,Unnikrishnan K N,Independent
81,Thrippunithura,Ernakulam,294,"1,87,923","97,210","90,711",Others,Rajkumar,Independent
81,Thrippunithura,Ernakulam,294,"1,87,923","97,210","90,711",Others,Sandeep Rajendraprasad,Independent
82,Ernakulam,Ernakulam,206,"1,36,223","70,720","65,501",LDF,Sabu George,Indian Socialist Janata Dal
82,Ernakulam,Ernakulam,206,"1,36,223","70,720","65,501",UDF,T. J. Vinod,INC
82,Ernakulam,Ernakulam,206,"1,36,223","70,720","65,501",NDA,P.R. Sivasankar,BJP
82,Ernakulam,Ernakulam,206,"1,36,223","70,720","65,501",Others,Moses Henry Motha,AAP
82,Ernakulam,Ernakulam,206,"1,36,223","70,720","65,501",Others,Ashokan,Independent
83,Thrikkakara,Ernakulam,262,"1,76,387","91,640","84,746",LDF,Adv. Pushpa das,CPI(M)
83,Thrikkakara,Ernakulam,262,"1,76,387","91,640","84,746",UDF,Uma Thomas,INC
83,Thrikkakara,Ernakulam,262,"1,76,387","91,640","84,746",NDA,Akhil Raj (Akhil Marar),TTP
83,Thrikkakara,Ernakulam,262,"1,76,387","91,640","84,746",Others,Jose George,AAP
83,Thrikkakara,Ernakulam,262,"1,76,387","91,640","84,746",Others,Aloysius Kollannur,SDPI
84,Kunnathunad,Ernakulam,222,"1,88,291","96,384","91,905",LDF,Adv. P. V. Sreenijin,CPI(M)
84,Kunnathunad,Ernakulam,222,"1,88,291","96,384","91,905",UDF,V. P. Sajeendran,INC
84,Kunnathunad,Ernakulam,222,"1,88,291","96,384","91,905",NDA,Babu Divakaran,TTP
84,Kunnathunad,Ernakulam,222,"1,88,291","96,384","91,905",Others,Manikuttan A. T.,BSP
84,Kunnathunad,Ernakulam,222,"1,88,291","96,384","91,905",Others,Vazhakulam Bhasi,Independent
85,Piravom,Ernakulam,206,"1,95,421","1,00,927","94,490",LDF,Sabu K Jacob,Kerala Congress (M)
85,Piravom,Ernakulam,206,"1,95,421","1,00,927","94,490",UDF,Anoop Jacob,KC(J)
85,Piravom,Ernakulam,206,"1,95,421","1,00,927","94,490",NDA,Jibi Abraham,TTP
85,Piravom,Ernakulam,206,"1,95,421","1,00,927","94,490",Others,Eldho Abraham,AAP
85,Piravom,Ernakulam,206,"1,95,421","1,00,927","94,490",Others,T C Ramanan,SUCI
85,Piravom,Ernakulam,206,"1,95,421","1,00,927","94,490",Others,Renny Mathew,Independent
85,Piravom,Ernakulam,206,"1,95,421","1,00,927","94,490",Others,Sabu K Eramath,Independent
86,Muvattupuzha,Ernakulam,203,"1,86,254","94,829","91,420",LDF,N. Arun,CPI
86,Muvattupuzha,Ernakulam,203,"1,86,254","94,829","91,420",UDF,Dr. Mathew Kuzhalnadan,INC
86,Muvattupuzha,Ernakulam,203,"1,86,254","94,829","91,420",NDA,Sunny Kadoothazhe,TTP
86,Muvattupuzha,Ernakulam,203,"1,86,254","94,829","91,420",Others,Roy Arakkal,SDPI
87,Kothamangalam,Ernakulam,191,"1,71,968","87,364","84,604",LDF,Antony John,CPI(M)
87,Kothamangalam,Ernakulam,191,"1,71,968","87,364","84,604",UDF,Shibu Thekkumpuram,KEC
87,Kothamangalam,Ernakulam,191,"1,71,968","87,364","84,604",NDA,Aji Narayanan,BDJS
87,Kothamangalam,Ernakulam,191,"1,71,968","87,364","84,604",Others,Finto Xavier,RJP
87,Kothamangalam,Ernakulam,191,"1,71,968","87,364","84,604",Others,Roy Arackal,SDPI
87,Kothamangalam,Ernakulam,191,"1,71,968","87,364","84,604",Others,Shibu Chalakattu,Independent
87,Kothamangalam,Ernakulam,191,"1,71,968","87,364","84,604",Others,Shibu Kallekkattu,Independent
88,Devikulam,Idukki,215,"1,42,265","72,193","70,071",LDF,Adv. A. Raja,CPI(M)
88,Devikulam,Idukki,215,"1,42,265","72,193","70,071",UDF,F. Raja,INC
88,Devikulam,Idukki,215,"1,42,265","72,193","70,071",NDA,S. Rajendran,BJP
88,Devikulam,Idukki,215,"1,42,265","72,193","70,071",Others,Rajendran .V. B,BSP
88,Devikulam,Idukki,215,"1,42,265","72,193","70,071",Others,Chelladurai .M,Independent
88,Devikulam,Idukki,215,"1,42,265","72,193","70,071",Others,Selvi,Independent
89,Udumbanchola,Idukki,201,"1,50,303","76,081","74,219",LDF,K. K. Jayachandran,CPI(M)
89,Udumbanchola,Idukki,201,"1,50,303","76,081","74,219",UDF,Adv. Senapathi Venu,INC
89,Udumbanchola,Idukki,201,"1,50,303","76,081","74,219",NDA,Adv. Sangeetha Viswanadhan,BDJS
89,Udumbanchola,Idukki,201,"1,50,303","76,081","74,219",Others,P.K. Sajeevan,BSP
90,Thodupuzha,Idukki,229,"1,88,495","95,482","93,010",LDF,Cyriac Chazhikadan,Kerala Congress (M)
90,Thodupuzha,Idukki,229,"1,88,495","95,482","93,010",UDF,Apu John Joseph,KEC
90,Thodupuzha,Idukki,229,"1,88,495","95,482","93,010",NDA,Adv. Roy A. Varikkad,TTP
90,Thodupuzha,Idukki,229,"1,88,495","95,482","93,010",Others,Adv. Basil John,AAP
90,Thodupuzha,Idukki,229,"1,88,495","95,482","93,010",Others,Afsal M. B,SDPI
90,Thodupuzha,Idukki,229,"1,88,495","95,482","93,010",Others,P T Varghese,SUCI
90,Thodupuzha,Idukki,229,"1,88,495","95,482","93,010",Others,Ajay V Marar (ajay Unni),Independent
90,Thodupuzha,Idukki,229,"1,88,495","95,482","93,010",Others,Jomon John,Independent
91,Idukki,Idukki,207,"1,67,822","84,746","83,076",LDF,Roshi Augustine,Kerala Congress (M)
91,Idukki,Idukki,207,"1,67,822","84,746","83,076",UDF,Roy K. Paulose,INC
91,Idukki,Idukki,207,"1,67,822","84,746","83,076",NDA,Adv. Pradeesh Prabha,BDJS
91,Idukki,Idukki,207,"1,67,822","84,746","83,076",Others,Shijo Antony,BSP
92,Peerumade,Idukki,224,"1,56,542","79,331","77,210",LDF,K. Salim Kumar,CPI
92,Peerumade,Idukki,224,"1,56,542","79,331","77,210",UDF,Adv. Syriac Thomas,INC
92,Peerumade,Idukki,224,"1,56,542","79,331","77,210",NDA,V. Ratheesh,BJP
92,Peerumade,Idukki,224,"1,56,542","79,331","77,210",Others,Joseph Jacob,AAP
92,Peerumade,Idukki,224,"1,56,542","79,331","77,210",Others,K Murali,BSP
93,Pala,Kottayam,217,"1,76,585","90,605","85,980",LDF,Jose K. Mani,Kerala Congress (M)
93,Pala,Kottayam,217,"1,76,585","90,605","85,980",UDF,Mani C. Kappan,DCK
93,Pala,Kottayam,217,"1,76,585","90,605","85,980",NDA,Shone George,BJP
93,Pala,Kottayam,217,"1,76,585","90,605","85,980",Others,Adv. Rony Jose Nedumpallil,AAP
93,Pala,Kottayam,217,"1,76,585","90,605","85,980",Others,Santhosh Nadoopparampil,BSP
93,Pala,Kottayam,217,"1,76,585","90,605","85,980",Others,C G Babu,Independent
93,Pala,Kottayam,217,"1,76,585","90,605","85,980",Others,Santhosh Pulickal,Independent
94,Kaduthuruthy,Kottayam,205,"1,75,905","90,148","85,756",LDF,Nirmala Jimmy,Kerala Congress (M)
94,Kaduthuruthy,Kottayam,205,"1,75,905","90,148","85,756",UDF,Adv. Mons Joseph,KEC
94,Kaduthuruthy,Kottayam,205,"1,75,905","90,148","85,756",NDA,Suresh Ettikunnel,BDJS
94,Kaduthuruthy,Kottayam,205,"1,75,905","90,148","85,756",Others,Dominic Simon,AAP
94,Kaduthuruthy,Kottayam,205,"1,75,905","90,148","85,756",Others,Jijith K Joy,BSP
94,Kaduthuruthy,Kottayam,205,"1,75,905","90,148","85,756",Others,Indu,Independent
94,Kaduthuruthy,Kottayam,205,"1,75,905","90,148","85,756",Others,M.M.Scaria,Independent
95,Vaikom,Kottayam,180,"1,55,957","80,006","75,948",LDF,P. Pradeep,CPI
95,Vaikom,Kottayam,180,"1,55,957","80,006","75,948",UDF,K. Binimon,INC
95,Vaikom,Kottayam,180,"1,55,957","80,006","75,948",NDA,K. Ajith,BJP
95,Vaikom,Kottayam,180,"1,55,957","80,006","75,948",Others,Sumam P S,BSP
95,Vaikom,Kottayam,180,"1,55,957","80,006","75,948",Others,T M Bose,SUCI
95,Vaikom,Kottayam,180,"1,55,957","80,006","75,948",Others,Adv. P I Jayakumar,Independent
95,Vaikom,Kottayam,180,"1,55,957","80,006","75,948",Others,Pradeep,Independent
96,Ettumanoor,Kottayam,177,"1,58,256","80,908","77,347",LDF,V. N. Vasavan,CPI(M)
96,Ettumanoor,Kottayam,177,"1,58,256","80,908","77,347",UDF,Nattakam Suresh,INC
96,Ettumanoor,Kottayam,177,"1,58,256","80,908","77,347",NDA,Athira D. Nair,TTP
96,Ettumanoor,Kottayam,177,"1,58,256","80,908","77,347",Others,Binoy Joseph Kulathunkal,BSP
96,Ettumanoor,Kottayam,177,"1,58,256","80,908","77,347",Others,Ashna Thambi,SUCI
96,Ettumanoor,Kottayam,177,"1,58,256","80,908","77,347",Others,Raj Mohan Vettikulangara Unni,Independent
97,Kottayam,Kottayam,188,"1,49,573","77,583","71,989",LDF,Adv. K. Anilkumar,CPI(M)
97,Kottayam,Kottayam,188,"1,49,573","77,583","71,989",UDF,Thiruvanchoor Radhakrishnan,INC
97,Kottayam,Kottayam,188,"1,49,573","77,583","71,989",NDA,P. Anilkumar,BDJS
97,Kottayam,Kottayam,188,"1,49,573","77,583","71,989",Others,Dr. Selin Philip,AAP
97,Kottayam,Kottayam,188,"1,49,573","77,583","71,989",Others,Ralesh Chandran,SUCI
97,Kottayam,Kottayam,188,"1,49,573","77,583","71,989",Others,Shaiju Kurian,Independent
98,Puthuppally,Kottayam,201,"1,70,254","87,345","82,904",LDF,K. M. Radhakrishnan,CPI(M)
98,Puthuppally,Kottayam,201,"1,70,254","87,345","82,904",UDF,Adv. Chandy Oommen,INC
98,Puthuppally,Kottayam,201,"1,70,254","87,345","82,904",NDA,Raveendranath Vakathanam,BJP
98,Puthuppally,Kottayam,201,"1,70,254","87,345","82,904",Others,Paul P Chacko,BSP
98,Puthuppally,Kottayam,201,"1,70,254","87,345","82,904",Others,Sabu Mylakkadan,JRP
98,Puthuppally,Kottayam,201,"1,70,254","87,345","82,904",Others,Rijomon Mathew,Independent
99,Changanassery,Kottayam,205,"1,62,885","84,329","78,554",LDF,Adv. Job Maichil,Kerala Congress (M)
99,Changanassery,Kottayam,205,"1,62,885","84,329","78,554",UDF,Vinu Job,KEC
99,Changanassery,Kottayam,205,"1,62,885","84,329","78,554",NDA,B. Radhakrishna Menon,BJP
99,Changanassery,Kottayam,205,"1,62,885","84,329","78,554",Others,Prof. Dr. Saju Kannanthara,AAP
99,Changanassery,Kottayam,205,"1,62,885","84,329","78,554",Others,Usha Johnson,BSP
99,Changanassery,Kottayam,205,"1,62,885","84,329","78,554",Others,Jose Joseph,JRP
99,Changanassery,Kottayam,205,"1,62,885","84,329","78,554",Others,Althaf Hassan,SDPI
99,Changanassery,Kottayam,205,"1,62,885","84,329","78,554",Others,Aravind V,SUCI
99,Changanassery,Kottayam,205,"1,62,885","84,329","78,554",Others,Dr.Kalki P,Independent
99,Changanassery,Kottayam,205,"1,62,885","84,329","78,554",Others,Joemon Joseph Srampickal A P J Juman V S,Independent
100,Kanjirappally,Kottayam,200,"1,77,500","91,358","86,142",LDF,Dr. N. Jayaraj,Kerala Congress (M)
100,Kanjirappally,Kottayam,200,"1,77,500","91,358","86,142",UDF,Prof. Rony K. Baby,INC
100,Kanjirappally,Kottayam,200,"1,77,500","91,358","86,142",NDA,Adv. George Kurian,BJP
100,Kanjirappally,Kottayam,200,"1,77,500","91,358","86,142",Others,Thampi Kavumpadam,BSP
101,Poonjar,Kottayam,218,"1,84,665","93,296","91,369",LDF,Adv. Sebastian Kulathunkal,Kerala Congress (M)
101,Poonjar,Kottayam,218,"1,84,665","93,296","91,369",UDF,Adv. Sebastian M.J,INC
101,Poonjar,Kottayam,218,"1,84,665","93,296","91,369",NDA,P. C. George,BJP
101,Poonjar,Kottayam,218,"1,84,665","93,296","91,369",Others,Shiny A C,BSP
101,Poonjar,Kottayam,218,"1,84,665","93,296","91,369",Others,Abhiram Babu,Independent
101,Poonjar,Kottayam,218,"1,84,665","93,296","91,369",Others,Mayamol K P,Independent
101,Poonjar,Kottayam,218,"1,84,665","93,296","91,369",Others,Santhosh Joseph,Independent
102,Aroor,Alappuzha,210,"1,91,465","97,582","93,883",LDF,Daleema Jojo,CPI(M)
102,Aroor,Alappuzha,210,"1,91,465","97,582","93,883",UDF,Adv. Shanimol Osman,INC
102,Aroor,Alappuzha,210,"1,91,465","97,582","93,883",NDA,Adv. P.S. Jyothis,BDJS
102,Aroor,Alappuzha,210,"1,91,465","97,582","93,883",Others,Vayalar Rajeevan,BDP
102,Aroor,Alappuzha,210,"1,91,465","97,582","93,883",Others,N.K. Sasikumar,SUCI
102,Aroor,Alappuzha,210,"1,91,465","97,582","93,883",Others,Vipin,Independent
103,Cherthala,Alappuzha,230,"2,06,016","1,06,198","99,816",LDF,P. Prasad,CPI
103,Cherthala,Alappuzha,230,"2,06,016","1,06,198","99,816",UDF,K. R. Rajendra Prasad,INC
103,Cherthala,Alappuzha,230,"2,06,016","1,06,198","99,816",NDA,Adv. Anandaraj T. P,BDJS
103,Cherthala,Alappuzha,230,"2,06,016","1,06,198","99,816",Others,Adv. Sonnymon K. Mathew,Independent
103,Cherthala,Alappuzha,230,"2,06,016","1,06,198","99,816",Others,A.P. Prasad S/o Purushothaman,Independent
103,Cherthala,Alappuzha,230,"2,06,016","1,06,198","99,816",Others,Nandakumar,Independent
103,Cherthala,Alappuzha,230,"2,06,016","1,06,198","99,816",Others,Rajendra Prasad S/o Prabhakaran,Independent
104,Alappuzha,Alappuzha,219,"1,91,880","98,288","93,592",LDF,P. P. Chitharanjan,CPI(M)
104,Alappuzha,Alappuzha,219,"1,91,880","98,288","93,592",UDF,A. D. Thomas,INC
104,Alappuzha,Alappuzha,219,"1,91,880","98,288","93,592",NDA,M.J. Job,BJP
104,Alappuzha,Alappuzha,219,"1,91,880","98,288","93,592",Others,Alleppey Sugunan,Independent
104,Alappuzha,Alappuzha,219,"1,91,880","98,288","93,592",Others,Joseph Chacko,Independent
104,Alappuzha,Alappuzha,219,"1,91,880","98,288","93,592",Others,Jyothi Abraham,Independent
105,Ambalappuzha,Alappuzha,195,"1,71,203","87,695","83,506",LDF,H. Salam,CPI(M)
105,Ambalappuzha,Alappuzha,195,"1,71,203","87,695","83,506",UDF,G. Sudhakaran,Independent (INC Support)
105,Ambalappuzha,Alappuzha,195,"1,71,203","87,695","83,506",NDA,Arun Anirudhan,BJP
105,Ambalappuzha,Alappuzha,195,"1,71,203","87,695","83,506",Others,Johnson Mathew,SUCI
106,Kuttanad,Alappuzha,180,"1,53,981","78,146","75,835",LDF,Thomas K. Thomas,NCP(SP)
106,Kuttanad,Alappuzha,180,"1,53,981","78,146","75,835",UDF,Reji Cheriyan,KEC
106,Kuttanad,Alappuzha,180,"1,53,981","78,146","75,835",NDA,Santhosh Santhy,BDJS
106,Kuttanad,Alappuzha,180,"1,53,981","78,146","75,835",Others,Joseph Mathew,AAP
106,Kuttanad,Alappuzha,180,"1,53,981","78,146","75,835",Others,P.K. Sasi,SUCI
106,Kuttanad,Alappuzha,180,"1,53,981","78,146","75,835",Others,Jaisappan Mathai,Independent
106,Kuttanad,Alappuzha,180,"1,53,981","78,146","75,835",Others,Joemon Joseph Srampickal A. P. J. Juman V. S.,Independent
106,Kuttanad,Alappuzha,180,"1,53,981","78,146","75,835",Others,Renju T. R.,Independent
107,Haripad,Alappuzha,204,"1,84,457","96,584","87,869",LDF,T. T. Jismon,CPI
107,Haripad,Alappuzha,204,"1,84,457","96,584","87,869",UDF,Ramesh Chennithala,INC
107,Haripad,Alappuzha,204,"1,84,457","96,584","87,869",NDA,Sandeep Vachaspati,BJP
107,Haripad,Alappuzha,204,"1,84,457","96,584","87,869",Others,Vidhya V.P,SUCI
107,Haripad,Alappuzha,204,"1,84,457","96,584","87,869",Others,Soumya V.Sasidharan,Independent
107,Haripad,Alappuzha,204,"1,84,457","96,584","87,869",Others,Ch. Ramesh,Independent
108,Kayamkulam,Alappuzha,226,"2,01,394","1,05,248","96,145",LDF,Adv. U. Prathibha,CPI(M)
108,Kayamkulam,Alappuzha,226,"2,01,394","1,05,248","96,145",UDF,Adv. M. Liju,INC
108,Kayamkulam,Alappuzha,226,"2,01,394","1,05,248","96,145",NDA,Thambi Mettuthara,BDJS
109,Mavelikara,Alappuzha,226,"1,92,435","1,01,922","90,510",LDF,M. S. Arun Kumar,CPI(M)
109,Mavelikara,Alappuzha,226,"1,92,435","1,01,922","90,510",UDF,Adv. Muthara Raj,INC
109,Mavelikara,Alappuzha,226,"1,92,435","1,01,922","90,510",NDA,Ajimon,BJP
109,Mavelikara,Alappuzha,226,"1,92,435","1,01,922","90,510",Others,Suresh Nooranad,API
110,Chengannur,Alappuzha,209,"1,89,866","99,378","90,485",LDF,Saji Cherian,CPI(M)
110,Chengannur,Alappuzha,209,"1,89,866","99,378","90,485",UDF,Adv. Abi Kuriakose,INC
110,Chengannur,Alappuzha,209,"1,89,866","99,378","90,485",NDA,M. V. Gopakumar,BJP
110,Chengannur,Alappuzha,209,"1,89,866","99,378","90,485",Others,B. Praneesh,SUCI
111,Thiruvalla,Pathanamthitta,239,"1,98,395","1,03,176","95,219",LDF,Mathew T. Thomas,Indian Socialist Janata Dal
111,Thiruvalla,Pathanamthitta,239,"1,98,395","1,03,176","95,219",UDF,Adv. Varghese Mammen,KEC
111,Thiruvalla,Pathanamthitta,239,"1,98,395","1,03,176","95,219",NDA,Anoop Antony,BJP
111,Thiruvalla,Pathanamthitta,239,"1,98,395","1,03,176","95,219",Others,Ramesh Chathenkary,BSP
111,Thiruvalla,Pathanamthitta,239,"1,98,395","1,03,176","95,219",Others,Thomas Mammen,Independent
111,Thiruvalla,Pathanamthitta,239,"1,98,395","1,03,176","95,219",Others,Zeen Thomas,Independent
111,Thiruvalla,Pathanamthitta,239,"1,98,395","1,03,176","95,219",Others,Aju Alex,Independent
112,Ranni,Pathanamthitta,237,"1,76,015","90,354","85,660",LDF,Adv. Pramod Narayan,Kerala Congress (M)
112,Ranni,Pathanamthitta,237,"1,76,015","90,354","85,660",UDF,Adv. Pazhakulam Madhu,INC
112,Ranni,Pathanamthitta,237,"1,76,015","90,354","85,660",NDA,Thomas K. Samuel,TTP
112,Ranni,Pathanamthitta,237,"1,76,015","90,354","85,660",Others,Sreehari K P,Independent
113,Aranmula,Pathanamthitta,272,"2,15,168","1,12,005","1,03,163",LDF,Veena George,CPI(M)
113,Aranmula,Pathanamthitta,272,"2,15,168","1,12,005","1,03,163",UDF,Abin Varkey,INC
113,Aranmula,Pathanamthitta,272,"2,15,168","1,12,005","1,03,163",NDA,Kummanam Rajasekharan,BJP
113,Aranmula,Pathanamthitta,272,"2,15,168","1,12,005","1,03,163",Others,Omalloor Ramachandran,API
113,Aranmula,Pathanamthitta,272,"2,15,168","1,12,005","1,03,163",Others,Prabhakaran V R,BSP
113,Aranmula,Pathanamthitta,272,"2,15,168","1,12,005","1,03,163",Others,Radhamani,SUCI
114,Konni,Pathanamthitta,228,"1,89,366","99,237","90,128",LDF,Adv. K. U. Jenish Kumar,CPI(M)
114,Konni,Pathanamthitta,228,"1,89,366","99,237","90,128",UDF,Prof Satheesh Kochuparambil,INC
114,Konni,Pathanamthitta,228,"1,89,366","99,237","90,128",NDA,T. P. Sundareshan,BDJS
114,Konni,Pathanamthitta,228,"1,89,366","99,237","90,128",Others,Adv Varughese Oommen,Independent
115,Adoor,Pathanamthitta,231,"2,01,200","1,06,183","95,014",LDF,Priji Sasidharan,CPI
115,Adoor,Pathanamthitta,231,"2,01,200","1,06,183","95,014",UDF,Adv. C V Santhakumar,INC
115,Adoor,Pathanamthitta,231,"2,01,200","1,06,183","95,014",NDA,Adv. Pandalam Prathapan,BJP
115,Adoor,Pathanamthitta,231,"2,01,200","1,06,183","95,014",Others,Sivakumar C S,BSP
116,Karunagappally,Kollam,214,"2,14,513","1,10,168","1,04,343",LDF,Adv.M.S. Thara,CPI
116,Karunagappally,Kollam,214,"2,14,513","1,10,168","1,04,343",UDF,C. R. Mahesh,INC
116,Karunagappally,Kollam,214,"2,14,513","1,10,168","1,04,343",NDA,V. S. Jithin Dev,BJP
116,Karunagappally,Kollam,214,"2,14,513","1,10,168","1,04,343",Others,Latheef,SDPI
116,Karunagappally,Kollam,214,"2,14,513","1,10,168","1,04,343",Others,Twinkle Prabhakaran,SUCI
117,Chavara,Kollam,188,"1,78,798","91,726","87,070",LDF,Dr. Sujith Vijayanpillai,Independent (CPI(M) support)
117,Chavara,Kollam,188,"1,78,798","91,726","87,070",UDF,Shibu Baby John,RSP
117,Chavara,Kollam,188,"1,78,798","91,726","87,070",NDA,K. R. Rajesh,BJP
118,Kunnathur,Kollam,227,"2,05,694","1,07,546","98,146",LDF,Kovoor Kunjumon,RSP(L)
118,Kunnathur,Kollam,227,"2,05,694","1,07,546","98,146",UDF,Ullas Kovoor,RSP
118,Kunnathur,Kollam,227,"2,05,694","1,07,546","98,146",NDA,Raji Prasad,BJP
118,Kunnathur,Kollam,227,"2,05,694","1,07,546","98,146",Others,Sasidharan,SUCI
118,Kunnathur,Kollam,227,"2,05,694","1,07,546","98,146",Others,Manthara Velayudhan,Independent
119,Kottarakkara,Kollam,204,"1,93,272","1,01,667","91,605",LDF,K. N. Balagopal,CPI(M)
119,Kottarakkara,Kollam,204,"1,93,272","1,01,667","91,605",UDF,Adv. P. Aisha Potty,INC
119,Kottarakkara,Kollam,204,"1,93,272","1,01,667","91,605",NDA,R. Reshmi,BJP
119,Kottarakkara,Kollam,204,"1,93,272","1,01,667","91,605",Others,Mamachan D,AAP
119,Kottarakkara,Kollam,204,"1,93,272","1,01,667","91,605",Others,Wilfred Zacharias,BSP
119,Kottarakkara,Kollam,204,"1,93,272","1,01,667","91,605",Others,G Suresh,EPI
120,Pathanapuram,Kollam,196,"1,79,783","94,551","85,231",LDF,K. B. Ganesh Kumar,Kerala Congress (B)
120,Pathanapuram,Kollam,196,"1,79,783","94,551","85,231",UDF,Jyothikumar chamakkala,INC
120,Pathanapuram,Kollam,196,"1,79,783","94,551","85,231",NDA,Anil Pilla,TTP
120,Pathanapuram,Kollam,196,"1,79,783","94,551","85,231",Others,Aneesh Aneesh,Anna DHRM
120,Pathanapuram,Kollam,196,"1,79,783","94,551","85,231",Others,Vipinkumar V,BSP
120,Pathanapuram,Kollam,196,"1,79,783","94,551","85,231",Others,Genash Kumar,Independent
120,Pathanapuram,Kollam,196,"1,79,783","94,551","85,231",Others,Jyothish Kumar M,Independent
121,Punalur,Kollam,220,"1,97,346","1,03,470","93,874",LDF,C. Ajaya Prasad,CPI
121,Punalur,Kollam,220,"1,97,346","1,03,470","93,874",UDF,Noushad Yusuf,IUML
121,Punalur,Kollam,220,"1,97,346","1,03,470","93,874",NDA,Adv. B. Raghunathan Pillai,TTP
121,Punalur,Kollam,220,"1,97,346","1,03,470","93,874",Others,Jose Saranath,BSP
121,Punalur,Kollam,220,"1,97,346","1,03,470","93,874",Others,Nedumoncavu Gopalakrishnan,EPI
121,Punalur,Kollam,220,"1,97,346","1,03,470","93,874",Others,K. Mahesh,SUCI
122,Chadayamangalam,Kollam,204,"2,01,716","1,05,999","95,716",LDF,J. Chinchu Rani,CPI
122,Chadayamangalam,Kollam,204,"2,01,716","1,05,999","95,716",UDF,M. M. Naseer,INC
122,Chadayamangalam,Kollam,204,"2,01,716","1,05,999","95,716",NDA,R. S. Arun Raj,BJP
122,Chadayamangalam,Kollam,204,"2,01,716","1,05,999","95,716",Others,Aji Kadasseri,Anna DHRM
122,Chadayamangalam,Kollam,204,"2,01,716","1,05,999","95,716",Others,Sharafath Mallam,SDPI
122,Chadayamangalam,Kollam,204,"2,01,716","1,05,999","95,716",Others,G. Jayan Moonlight Chithara,Independent
123,Kundara,Kollam,226,"2,06,464","1,07,682","98,778",LDF,S. L. Sajikumar,CPI(M)
123,Kundara,Kollam,226,"2,06,464","1,07,682","98,778",UDF,P. C. Vishnunadh,INC
123,Kundara,Kollam,226,"2,06,464","1,07,682","98,778",NDA,Robin Radhakrishnan (Robin RB),BJP
123,Kundara,Kollam,226,"2,06,464","1,07,682","98,778",Others,Lathika C,BSP
123,Kundara,Kollam,226,"2,06,464","1,07,682","98,778",Others,Rahul R,SUCI
123,Kundara,Kollam,226,"2,06,464","1,07,682","98,778",Others,Riyas M,Independent
124,Kollam,Kollam,190,"1,64,541","85,285","79,254",LDF,S. Jayamohan,CPI(M)
124,Kollam,Kollam,190,"1,64,541","85,285","79,254",UDF,Adv. Bindhu Krishna,INC
124,Kollam,Kollam,190,"1,64,541","85,285","79,254",NDA,Dr. N. Prathap Kumar,BJP
124,Kollam,Kollam,190,"1,64,541","85,285","79,254",Others,Adv. Sinu L R,AAP
124,Kollam,Kollam,190,"1,64,541","85,285","79,254",Others,Mylode Sudhan,BSP
125,Eravipuram,Kollam,191,"1,68,865","87,584","81,278",LDF,M. Noushad,CPI(M)
125,Eravipuram,Kollam,191,"1,68,865","87,584","81,278",UDF,Adv. Vishnu Mohan,RSP
125,Eravipuram,Kollam,191,"1,68,865","87,584","81,278",NDA,Saji D. Anand,BDJS
125,Eravipuram,Kollam,191,"1,68,865","87,584","81,278",Others,Firoz S R,Independent
125,Eravipuram,Kollam,191,"1,68,865","87,584","81,278",Others,Noushad A S/o.Aliyaru Kunju,Independent
126,Chathannoor,Kollam,196,"1,77,000","94,126","82,872",LDF,Adv. R.Rajendran,CPI
126,Chathannoor,Kollam,196,"1,77,000","94,126","82,872",UDF,Sooraj Ravi,INC
126,Chathannoor,Kollam,196,"1,77,000","94,126","82,872",NDA,B. B. Gopakumar,BJP
126,Chathannoor,Kollam,196,"1,77,000","94,126","82,872",Others,Arun A,AAP
126,Chathannoor,Kollam,196,"1,77,000","94,126","82,872",Others,Sindhu Puthenkulam,Anna DHRM
127,Varkala,Thiruvananthapuram,202,"1,83,280","97,085","86,192",LDF,Adv. V Joy,CPI(M)
127,Varkala,Thiruvananthapuram,202,"1,83,280","97,085","86,192",UDF,Varkala Kahar,INC
127,Varkala,Thiruvananthapuram,202,"1,83,280","97,085","86,192",NDA,Adv. Smitha Sundaresan,BJP
127,Varkala,Thiruvananthapuram,202,"1,83,280","97,085","86,192",Others,Vinod Elakamon,Anna DHRM
127,Varkala,Thiruvananthapuram,202,"1,83,280","97,085","86,192",Others,Raju S Kottarakonam,BSP
127,Varkala,Thiruvananthapuram,202,"1,83,280","97,085","86,192",Others,Vivekanandan K,Independent
127,Varkala,Thiruvananthapuram,202,"1,83,280","97,085","86,192",Others,Harikrishnan S G,Independent
127,Varkala,Thiruvananthapuram,202,"1,83,280","97,085","86,192",Others,M. K. Kannan,Independent
127,Varkala,Thiruvananthapuram,202,"1,83,280","97,085","86,192",Others,Säju,Independent
128,Attingal,Thiruvananthapuram,213,"1,97,945","1,06,201","91,741",LDF,O. S. Ambika,CPI(M)
128,Attingal,Thiruvananthapuram,213,"1,97,945","1,06,201","91,741",UDF,Santhosh Bhadran,RSP
